Date;Super95;Diesel;Heizoel;Heizoel-II;Heizoel-III;LPG
04.04.11;1.521,51;1.365,62;930,66;613,80;462,32;690,35
28.03.11;1.504,38;1.362,98;931,86;617,41;463,18;692,22
21.03.11;1.493,14;1.363,35;926,44;609,04;454,82;690,90
14.03.11;1.512,94;1.365,02;932,72;605,60;452,58;697,85
07.03.11;1.476,80;1.353,85;928,83;589,99;436,89;701,15
28.02.11;1.460,62;1.332,61;898,61;582,09;429,31;702,62
21.02.11;1.430,94;1.308,37;876,28;559,90;414,90;704,51
14.02.11;1.429,08;1.305,18;862,01;551,19;412,96;704,11
07.02.11;1.422,84;1.295,57;854,91;540,76;419,40;709,48
31.01.11;1.418,94;1.276,86;834,34;530,53;405,13;708,02
24.01.11;1.431,37;1.283,62;844,31;532,96;415,40;714,71
17.01.11;1.440,47;1.287,90;843,28;528,85;413,94;712,58
10.01.11;1.424,66;1.265,36;824,34;514,36;407,71;706,34
03.01.11;1.414,25;1.256,26;825,69;509,69;397,54;699,02
20.12.10;1.399,51;1.237,32;805,92;509,81;404,09;687,01
13.12.10;1.394,34;1.230,01;800,00;502,30;373,80;681,60
06.12.10;1.381,72;1.212,36;789,63;502,52;384,10;658,54
29.11.10;1.353,49;1.190,84;764,58;487,75;380,06;633,11
22.11.10;1.340,68;1.183,30;753,94;482,64;384,84;634,39
15.11.10;1.342,72;1.185,71;767,48;487,11;372,61;631,11
08.11.10;1.336,02;1.176,14;747,37;481,24;369,16;626,01
25.10.10;1.337,96;1.168,47;742,41;476,09;373,83;620,18
18.10.10;1.325,10;1.162,12;746,45;475,11;373,67;617,95
11.10.10;1.325,16;1.161,87;772,56;478,40;373,87;614,94
04.10.10;1.307,73;1.151,39;763,28;476,93;378,55;609,85
27.09.10;1.309,26;1.152,27;760,06;481,67;379,34;610,33
20.09.10;1.328,66;1.161,66;769,39;486,69;379,62;604,63
13.09.10;1.326,17;1.151,94;763,26;490,43;381,48;598,37
06.09.10;1.314,46;1.144,72;749,30;483,51;383,11;594,79
30.08.10;1.310,43;1.140,59;743,50;487,67;385,15;593,53
23.08.10;1.325,85;1.144,83;746,21;487,66;389,35;588,93
16.08.10;1.323,30;1.144,54;749,74;493,55;387,44;589,48
09.08.10;1.331,47;1.158,75;765,57;496,23;388,93;590,84
02.08.10;1.324,31;1.144,23;742,13;490,26;385,00;591,35
26.07.10;1.325,59;1.144,33;744,48;491,99;381,91;588,28
19.07.10;1.321,75;1.145,65;752,78;490,53;370,06;581,86
12.07.10;1.328,85;1.150,67;751,84;487,09;371,26;585,96
05.07.10;1.330,82;1.157,58;760,84;481,45;367,97;583,46
28.06.10;1.352,37;1.176,36;779,69;492,15;374,75;584,75
21.06.10;1.353,58;1.175,76;784,63;490,84;384,19;585,27
14.06.10;1.347,97;1.166,55;773,54;488,42;365,58;580,04
07.06.10;1.340,45;1.156,92;761,23;482,97;357,26;574,90
31.05.10;1.337,47;1.150,71;752,64;479,15;372,55;581,20
24.05.10;1.329,77;1.148,96;754,15;484,34;373,89;581,35
17.05.10;1.355,89;1.172,15;783,52;501,08;373,17;585,58
10.05.10;1.359,62;1.173,97;759,22;495,76;372,48;583,84
03.05.10;1.367,99;1.178,53;759,70;499,92;371,87;587,86
26.04.10;1.361,39;1.163,44;744,51;491,05;377,57;588,44
19.04.10;1.353,03;1.158,73;741,46;487,34;367,05;589,07
12.04.10;1.351,68;1.156,00;744,91;483,37;369,50;593,33
29.03.10;1.346,98;1.134,46;714,29;468,19;363,08;597,84
22.03.10;1.327,20;1.121,29;711,60;464,76;370,60;596,62
15.03.10;1.331,11;1.121,70;703,00;463,89;372,89;599,34
08.03.10;1.301,95;1.101,33;692,18;464,01;367,75;601,98
01.03.10;1.280,20;1.092,51;688,31;457,39;362,31;598,71
22.02.10;1.261,45;1.071,61;672,07;457,87;352,33;594,04
15.02.10;1.248,87;1.055,50;657,61;448,98;344,15;589,67
08.02.10;1.251,39;1.061,06;658,11;443,98;346,81;580,82
01.02.10;1.250,89;1.060,08;648,41;442,49;353,31;579,59
25.01.10;1.253,66;1.067,70;659,21;444,72;355,91;576,46
18.01.10;1.261,11;1.079,35;670,50;445,65;358,60;577,42
11.01.10;1.270,21;1.080,70;681,00;450,66;335,25;564,94
04.01.10;1.231,93;1.053,03;659,90;436,74;332,67;555,45
21.12.09;1.202,13;1.026,46;629,35;416,16;344,63;539,22
14.12.09;1.204,60;1.025,25;618,76;410,34;348,69;538,94
07.12.09;1.221,15;1.034,21;624,41;416,71;349,39;542,04
30.11.09;1.215,09;1.028,15;623,51;417,27;357,50;537,18
23.11.09;1.224,38;1.036,55;634,25;417,98;358,39;539,84
16.11.09;1.221,87;1.036,90;633,97;416,10;354,46;539,69
09.11.09;1.226,33;1.043,25;640,38;416,75;351,58;531,10
02.11.09;1.228,28;1.043,08;642,20;412,92;350,06;519,74
26.10.09;1.215,29;1.035,88;647,02;411,15;351,99;514,67
19.10.09;1.200,63;1.022,86;623,05;397,06;345,67;513,58
12.10.09;1.181,15;1.001,50;623,68;392,60;337,23;505,10
05.10.09;1.191,20;1.004,22;622,99;393,17;342,06;499,59
28.09.09;1.182,99;996,74;613,49;393,87;335,31;498,32
21.09.09;1.203,55;1.008,27;622,99;400,22;332,10;500,88
14.09.09;1.209,42;1.007,15;623,12;399,04;330,85;499,78
07.09.09;1.222,79;1.022,85;626,38;398,19;342,55;506,40
31.08.09;1.227,16;1.031,84;640,17;407,26;349,64;506,30
24.08.09;1.240,18;1.037,18;651,14;410,66;345,98;508,17
17.08.09;1.246,86;1.039,00;649,84;404,05;343,01;503,53
10.08.09;1.240,65;1.031,84;644,56;398,65;333,04;505,00
03.08.09;1.229,12;1.020,30;626,68;386,95;332,94;502,65
27.07.09;1.207,87;1.005,91;618,64;387,61;323,75;498,84
20.07.09;1.184,35;980,37;600,79;373,33;311,89;491,69
13.07.09;1.187,93;988,55;595,40;372,31;313,30;487,64
06.07.09;1.211,84;1.012,55;623,22;379,32;321,81;489,47
29.06.09;1.220,75;1.020,15;630,94;379,94;316,73;480,89
22.06.09;1.237,40;1.024,84;641,17;381,10;321,18;464,26
15.06.09;1.228,71;1.011,42;624,35;379,24;310,09;458,11
08.06.09;1.203,49;989,62;601,99;363,79;305,16;449,23
01.06.09;1.191,74;967,42;578,02;354,30;285,78;445,71
25.05.09;1.183,07;963,06;575,42;349,39;289,95;445,98
18.05.09;1.161,19;965,81;579,39;344,73;266,19;448,19
11.05.09;1.150,18;963,41;561,18;341,00;259,18;450,29
04.05.09;1.115,02;956,11;536,79;327,38;249,74;451,11
27.04.09;1.119,84;953,47;541,78;324,08;245,23;446,02
20.04.09;1.115,25;954,69;557,08;326,57;239,87;453,12
06.04.09;1.110,64;955,67;557,32;311,20;233,43;457,23
30.03.09;1.096,68;945,86;561,30;309,81;228,05;451,32
23.03.09;1.073,49;924,91;530,99;303,25;222,30;458,71
16.03.09;1.071,07;920,61;517,20;303,41;225,11;469,56
09.03.09;1.066,77;921,48;522,01;300,63;220,92;467,35
02.03.09;1.059,73;926,12;532,68;301,06;221,28;470,72
23.02.09;1.060,05;934,57;533,49;300,28;221,77;481,64
16.02.09;1.072,02;954,88;564,81;306,32;227,63;479,88
09.02.09;1.073,57;966,23;573,23;305,79;233,16;490,25
02.02.09;1.060,74;962,85;580,92;301,99;212,61;486,14
26.01.09;1.052,34;962,69;585,51;309,56;199,67;492,90
19.01.09;1.050,08;971,98;600,24;299,11;199,41;494,27
12.01.09;1.038,10;975,59;603,04;302,69;193,37;509,59
05.01.09;998,21;938,88;545,92;281,99;190,03;507,77
15.12.08;1.027,04;982,61;579,91;304,84;210,96;534,83
08.12.08;1.058,35;1.024,01;606,71;325,25;214,36;559,96
01.12.08;1.072,33;1.051,43;644,93;334,07;223,36;576,87
24.11.08;1.085,71;1.071,81;667,89;345,79;233,59;585,77
17.11.08;1.125,78;1.106,05;710,96;354,34;260,00;604,50
10.11.08;1.153,55;1.131,74;753,30;371,45;295,79;623,11
03.11.08;1.185,73;1.141,17;761,85;391,85;305,25;632,78
27.10.08;1.201,48;1.157,20;771,29;395,34;317,90;619,56
20.10.08;1.221,49;1.177,27;772,60;404,90;344,29;641,94
13.10.08;1.285,03;1.226,59;846,20;437,37;386,76;646,26
06.10.08;1.329,09;1.265,85;904,75;461,72;413,11;654,57
29.09.08;1.343,20;1.272,27;911,32;469,83;415,95;667,25
22.09.08;1.355,25;1.273,42;883,35;470,37;422,56;676,26
15.09.08;1.377,26;1.291,60;906,39;499,00;453,83;667,63
08.09.08;1.377,22;1.301,64;915,21;516,64;453,91;657,41
01.09.08;1.390,76;1.317,18;934,43;532,83;467,44;667,69
25.08.08;1.392,37;1.319,61;930,35;530,07;460,90;669,33
18.08.08;1.378,73;1.316,85;918,53;528,06;451,93;667,55
11.08.08;1.392,24;1.341,40;923,95;533,68;463,88;673,33
04.08.08;1.396,78;1.368,62;964,17;544,56;469,18;677,90
28.07.08;1.411,62;1.389,59;978,76;545,76;474,11;680,14
21.07.08;1.440,53;1.423,22;1.012,22;567,71;493,87;672,44
14.07.08;1.460,09;1.433,22;1.020,09;575,40;481,01;661,28
07.07.08;1.468,82;1.431,26;1.033,23;563,79;474,25;651,15
30.06.08;1.453,96;1.419,89;1.005,42;532,54;442,63;642,93
23.06.08;1.442,59;1.410,49;1.013,33;519,38;437,30;639,11
16.06.08;1.438,89;1.414,79;1.028,98;516,93;427,39;636,53
09.06.08;1.425,39;1.400,17;973,93;497,13;405,98;633,16
02.06.08;1.421,67;1.409,98;1.003,56;496,09;408,41;633,98
26.05.08;1.412,17;1.404,14;1.003,45;485,37;406,14;631,51
19.05.08;1.401,08;1.379,76;978,85;473,82;386,21;633,70
12.05.08;1.372,11;1.330,65;924,84;465,73;381,47;631,53
05.05.08;1.355,89;1.304,10;889,53;449,52;368,53;625,30
28.04.08;1.346,67;1.290,57;876,54;450,78;364,32;622,28
21.04.08;1.332,17;1.272,93;862,42;445,49;358,92;624,33
14.04.08;1.322,65;1.259,37;852,18;438,31;362,09;622,82
07.04.08;1.310,72;1.233,96;815,57;428,93;353,62;612,08
31.03.08;1.306,62;1.235,16;814,23;427,68;353,18;607,25
17.03.08;1.320,46;1.254,58;834,04;429,50;353,12;611,95
10.03.08;1.316,65;1.235,30;823,49;428,16;353,64;612,96
03.03.08;1.316,39;1.216,39;806,87;424,45;353,22;617,74
25.02.08;1.315,64;1.210,77;811,91;427,64;348,30;620,16
18.02.08;1.301,43;1.190,03;786,69;428,82;342,31;618,02
11.02.08;1.271,80;1.159,83;745,90;408,24;336,82;613,90
04.02.08;1.280,83;1.161,97;751,46;415,23;345,77;618,99
28.01.08;1.271,99;1.154,39;745,72;417,45;340,33;614,86
21.01.08;1.276,31;1.162,27;753,03;420,35;340,07;613,32
14.01.08;1.298,01;1.181,57;771,71;435,40;347,12;617,78
07.01.08;1.306,86;1.194,28;788,18;451,55;354,47;618,37
17.12.07;1.282,69;1.180,94;770,25;426,63;299,27;639,31
10.12.07;1.275,46;1.186,79;763,69;422,12;300,45;644,77
03.12.07;1.290,80;1.203,68;788,70;424,86;323,65;641,11
26.11.07;1.303,50;1.206,28;792,89;431,32;324,74;630,94
19.11.07;1.303,64;1.193,26;774,79;427,75;317,63;628,30
12.11.07;1.308,70;1.189,61;776,36;426,81;316,74;622,05
05.11.07;1.280,07;1.147,69;745,50;415,01;304,55;617,35
29.10.07;1.263,60;1.130,30;724,74;401,04;300,24;617,49
22.10.07;1.257,11;1.120,02;711,02;393,98;287,64;606,56
15.10.07;1.244,10;1.103,03;720,78;386,54;284,37;603,01
08.10.07;1.244,79;1.100,44;718,10;381,73;280,52;599,07
01.10.07;1.255,00;1.109,83;725,91;379,56;312,06;595,19
24.09.07;1.258,35;1.110,55;730,02;380,60;311,10;593,83
17.09.07;1.253,42;1.098,56;722,54;376,47;308,74;589,69
10.09.07;1.252,36;1.083,52;704,90;372,89;305,95;585,22
03.09.07;1.240,49;1.070,12;690,94;369,53;298,34;579,26
27.08.07;1.234,92;1.066,79;684,26;368,08;296,28;575,41
20.08.07;1.239,92;1.070,45;689,50;376,13;302,27;569,53
13.08.07;1.243,83;1.071,59;685,90;378,73;302,43;557,34
06.08.07;1.256,61;1.080,45;698,82;381,68;313,48;560,42
30.07.07;1.260,74;1.074,30;694,47;381,27;305,70;558,58
23.07.07;1.275,78;1.076,49;694,65;380,24;302,33;560,94
16.07.07;1.291,16;1.080,40;697,28;374,48;312,36;563,29
09.07.07;1.279,79;1.069,25;688,86;370,19;296,17;570,76
02.07.07;1.277,28;1.069,58;684,51;363,21;287,74;560,52
25.06.07;1.288,25;1.072,87;684,90;357,87;283,92;554,31
18.06.07;1.282,07;1.065,57;678,05;354,03;274,89;549,76
11.06.07;1.276,49;1.054,14;672,88;356,22;272,51;540,57
04.06.07;1.286,22;1.056,53;666,30;355,49;272,97;538,24
28.05.07;1.288,23;1.053,52;672,13;356,37;278,11;529,91
21.05.07;1.278,42;1.050,61;666,26;349,39;274,07;531,47
14.05.07;1.269,02;1.047,89;659,79;345,66;276,95;533,72
07.05.07;1.263,64;1.048,15;664,37;350,24;278,68;533,28
30.04.07;1.256,11;1.049,50;637,98;343,65;277,23;532,57
23.04.07;1.236,83;1.045,85;633,83;338,38;270,77;538,63
16.04.07;1.226,46;1.043,05;642,49;336,42;267,80;534,93
02.04.07;1.209,93;1.034,89;630,08;328,70;260,48;526,67
26.03.07;1.186,77;1.015,45;607,42;316,56;246,56;528,21
19.03.07;1.185,35;1.016,09;609,17;315,27;245,72;530,96
12.03.07;1.186,19;1.021,75;616,03;316,18;243,06;529,96
05.03.07;1.179,82;1.017,38;614,05;314,04;239,09;528,84
26.02.07;1.147,40;1.002,41;602,53;308,22;230,53;531,10
19.02.07;1.137,33;998,47;599,09;308,78;238,98;531,54
12.02.07;1.136,31;998,39;605,37;309,33;234,36;531,27
05.02.07;1.128,04;990,69;596,55;305,09;228,48;535,40
29.01.07;1.118,05;983,44;589,21;298,76;221,61;532,19
22.01.07;1.116,12;983,34;576,37;296,81;221,59;542,22
15.01.07;1.125,27;990,34;588,29;304,61;232,91;543,59
08.01.07;1.144,71;1.007,98;599,11;307,61;230,12;546,24
18.12.06;1.137,28;1.014,63;612,98;323,22;256,68;565,80
11.12.06;1.136,39;1.016,70;617,04;321,51;255,53;570,30
04.12.06;1.134,65;1.016,78;623,41;326,40;268,55;574,24
27.11.06;1.127,28;1.012,49;613,78;326,20;261,33;579,01
20.11.06;1.132,69;1.015,67;619,08;328,31;264,94;583,10
13.11.06;1.131,33;1.014,44;625,91;329,61;271,25;581,84
06.11.06;1.124,09;1.012,94;620,56;330,42;264,77;580,01
30.10.06;1.129,73;1.019,40;635,30;334,36;273,51;574,84
23.10.06;1.133,18;1.025,24;639,53;332,76;273,05;570,40
16.10.06;1.140,28;1.027,07;640,73;333,25;277,56;563,50
09.10.06;1.140,60;1.021,65;657,34;329,41;267,07;559,90
02.10.06;1.147,25;1.025,06;665,14;337,98;272,83;566,90
25.09.06;1.153,15;1.030,54;662,73;338,99;271,41;576,39
18.09.06;1.178,21;1.052,71;673,74;353,48;285,24;569,94
11.09.06;1.195,63;1.070,43;701,92;362,03;288,32;577,08
04.09.06;1.224,25;1.088,98;718,43;369,81;288,22;566,55
28.08.06;1.247,44;1.094,14;717,52;376,79;298,15;567,20
21.08.06;1.270,75;1.097,64;713,42;380,70;302,93;566,43
14.08.06;1.298,30;1.105,14;724,82;387,69;319,48;569,02
07.08.06;1.307,83;1.104,10;720,85;387,83;314,78;563,28
31.07.06;1.307,18;1.099,39;708,27;383,16;315,67;552,94
24.07.06;1.309,58;1.103,99;711,77;380,42;315,36;544,30
17.07.06;1.297,17;1.097,91;716,18;381,38;316,46;539,14
10.07.06;1.283,26;1.091,18;711,12;374,38;304,29;534,87
03.07.06;1.273,06;1.088,18;708,15;372,35;306,05;534,51
26.06.06;1.254,94;1.077,02;700,11;370,07;298,72;530,57
19.06.06;1.254,31;1.077,66;699,90;369,83;302,21;532,57
12.06.06;1.265,73;1.085,19;701,86;372,11;303,37;538,16
05.06.06;1.257,07;1.083,55;701,09;377,59;311,91;540,01
29.05.06;1.248,48;1.075,42;701,60;377,66;308,05;543,74
22.05.06;1.258,80;1.084,81;698,86;375,95;305,79;543,77
15.05.06;1.261,44;1.091,27;713,65;379,27;314,30;548,09
08.05.06;1.269,76;1.099,54;711,77;380,76;315,76;556,04
01.05.06;1.271,79;1.102,66;695,94;387,51;319,67;555,95
24.04.06;1.261,30;1.095,11;699,66;389,55;320,57;557,97
10.04.06;1.218,12;1.064,39;669,54;382,53;312,37;554,96
03.04.06;1.214,12;1.063,42;670,69;382,50;304,16;567,62
27.03.06;1.185,58;1.053,99;658,35;381,82;303,65;574,57
20.03.06;1.185,39;1.057,93;660,65;384,72;302,84;578,49
13.03.06;1.168,38;1.051,17;653,41;383,02;299,24;578,71
06.03.06;1.164,55;1.046,36;660,33;391,30;305,41;590,35
27.02.06;1.158,47;1.037,83;645,42;391,67;298,24;593,93
20.02.06;1.158,56;1.035,47;642,55;389,76;303,68;596,53
13.02.06;1.172,59;1.042,93;647,82;390,83;303,23;596,86
06.02.06;1.184,47;1.050,84;657,89;388,19;301,33;594,30
30.01.06;1.180,26;1.045,43;653,56;380,97;297,84;595,97
23.01.06;1.176,71;1.038,61;644,50;378,52;297,66;592,38
16.01.06;1.178,16;1.036,63;635,80;371,31;297,44;594,33
09.01.06;1.172,69;1.040,03;639,84;370,48;297,76;592,55
19.12.05;1.153,86;1.024,43;638,00;369,71;294,00;582,89
12.12.05;1.144,77;1.021,20;631,88;365,25;294,97;585,28
05.12.05;1.141,43;1.015,03;628,76;367,57;294,62;584,40
28.11.05;1.151,46;1.024,85;630,28;365,54;296,52;581,69
21.11.05;1.149,77;1.026,33;636,89;368,87;296,05;574,90
14.11.05;1.167,72;1.042,48;643,50;368,55;294,08;570,67
07.11.05;1.176,81;1.058,05;650,86;377,96;293,75;568,46
24.10.05;1.213,13;1.084,83;676,80;379,88;294,85;570,18
17.10.05;1.237,32;1.093,34;691,66;384,54;297,36;565,38
10.10.05;1.257,63;1.096,13;714,62;381,33;296,00;555,64
03.10.05;1.266,81;1.093,03;727,60;385,20;296,51;536,95
26.09.05;1.251,33;1.077,90;718,52;382,14;298,63;527,38
19.09.05;1.247,93;1.067,92;702,18;370,16;297,09;523,23
12.09.05;1.277,59;1.084,60;712,98;358,89;296,68;515,34
05.09.05;1.285,85;1.093,41;737,30;363,27;295,77;505,40
29.08.05;1.213,89;1.061,95;698,72;350,31;280,97;494,45
22.08.05;1.216,06;1.058,68;678,18;347,40;275,19;494,33
15.08.05;1.198,36;1.037,38;650,30;336,83;271,71;485,99
08.08.05;1.192,96;1.033,60;641,73;334,44;268,32;485,98
01.08.05;1.185,54;1.030,44;640,67;337,45;265,87;475,61
25.07.05;1.182,64;1.032,55;638,38;335,82;266,69;473,80
18.07.05;1.179,34;1.037,81;654,21;337,58;266,25;480,41
11.07.05;1.176,57;1.040,79;663,63;335,98;272,63;477,76
04.07.05;1.163,27;1.028,18;631,76;329,16;263,32;480,17
27.06.05;1.153,70;1.020,84;629,39;329,04;259,35;476,49
20.06.05;1.145,00;1.013,55;625,53;320,52;254,45;474,12
13.06.05;1.133,60;999,52;608,52;307,68;233,01;476,65
06.06.05;1.120,56;979,78;594,17;308,64;232,15;471,12
30.05.05;1.100,77;957,28;560,39;304,88;231,12;468,05
23.05.05;1.103,32;958,48;553,54;304,26;230,94;465,38
16.05.05;1.112,01;964,88;560,33;303,18;230,57;465,30
09.05.05;1.118,72;973,99;568,24;296,38;230,11;468,88
02.05.05;1.126,83;981,74;576,06;305,97;229,36;463,06
25.04.05;1.123,43;984,23;559,98;307,47;229,89;466,45
18.04.05;1.121,22;987,07;563,29;303,62;229,01;468,05
11.04.05;1.130,62;993,51;584,29;307,94;228,28;471,22
04.04.05;1.103,59;971,71;572,75;297,86;225,62;475,12
21.03.05;1.077,40;961,95;561,15;287,07;210,59;475,66
14.03.05;1.080,71;956,17;554,62;281,36;206,16;481,88
07.03.05;1.067,73;941,34;553,90;274,74;205,71;486,66
28.02.05;1.058,98;923,79;526,72;269,18;201,57;484,73
21.02.05;1.053,09;906,69;501,93;261,44;197,32;481,76
14.02.05;1.050,71;903,49;497,08;260,46;197,77;489,45
07.02.05;1.055,29;907,27;497,52;262,91;191,08;491,14
31.01.05;1.047,13;909,60;506,27;258,92;190,03;491,16
24.01.05;1.027,07;900,77;491,85;256,06;187,55;490,56
17.01.05;1.026,21;899,68;485,28;253,27;169,95;494,66
10.01.05;1.015,24;901,38;479,92;244,70;170,92;496,16
03.01.05;1.018,75;909,06;485,75;244,07;172,84;501,75
